DXCC,Name,Prefix,Cont,CQZ,ITUZ,Lat,Lon,Deleted,ValidFrom,ValidTo
390,Asiatic Turkey,TA,AS,20,39,40.00,33.00,0,,
391,United Arab Emirates,A6,AS,21,39,24.50,54.20,0,,
400,Algeria,7X,AF,33,37,36.70,3.00,0,,
401,Angola,D2,AF,36,52,-12.50,18.50,0,,
402,Botswana,A2,AF,38,57,-22.00,24.00,0,,
404,Burundi,9U,AF,36,52,-3.30,29.30,0,1962-07-01T00:00:00+00:00,
406,Cameroon,TJ,AF,36,47,3.90,11.50,0,,
408,Central African Republic,TL,AF,36,47,4.40,18.60,0,1960-08-13T00:00:00+00:00,
409,Cape Verde,D4,AF,35,46,16.00,-24.00,0,,
410,Chad,TT,AF,36,47,12.10,15.00,0,1960-08-11T00:00:00+00:00,
411,Comoros,D6,AF,39,53,-11.80,43.70,0,1975-07-06T00:00:00+00:00,
412,Republic of the Congo,TN,AF,36,52,-4.30,15.30,0,1960-08-15T00:00:00+00:00,
414,Dem. Rep. of the Congo,9Q,AF,36,52,-4.30,15.30,0,,
416,Benin,TY,AF,35,46,6.50,2.60,0,1960-08-01T00:00:00+00:00,
420,Gabon,TR,AF,36,52,0.40,9.50,0,1960-08-17T00:00:00+00:00,
422,The Gambia,C5,AF,35,46,13.50,-16.70,0,,
424,Ghana,9G,AF,35,46,5.50,-0.20,0,1957-03-05T00:00:00+00:00,
428,Cote d'Ivoire,TU,AF,35,46,5.30,-4.00,0,1960-08-07T00:00:00+00:00,
430,Kenya,5Z,AF,37,48,-1.30,37.50,0,,
432,Lesotho,7P,AF,38,57,-29.30,27.50,0,,
434,Liberia,EL,AF,35,46,6.50,-9.50,0,,
436,Libya,5A,AF,34,38,32.50,12.50,0,,
438,Madagascar,5R,AF,39,53,-18.90,47.50,0,,
440,Malawi,7Q,AF,37,53,-14.90,34.40,0,,
442,Mali,TZ,AF,35,46,12.70,-8.00,0,1960-06-20T00:00:00+00:00,
444,Mauritania,5T,AF,35,46,18.10,-16.00,0,1960-06-20T00:00:00+00:00,
446,Morocco,CN,AF,33,37,32.00,-5.00,0,,
450,Nigeria,5N,AF,35,46,6.50,3.40,0,,
452,Zimbabwe,Z2,AF,38,53,-17.80,31.00,0,,
453,Reunion Island,FR,AF,39,53,-21.10,55.60,0,,
454,Rwanda,9X,AF,36,52,-2.00,30.10,0,1962-07-01T00:00:00+00:00,
456,Senegal,6W,AF,35,46,14.70,-17.50,0,1960-06-20T00:00:00+00:00,
458,Sierra Leone,9L,AF,35,46,8.50,-13.20,0,,
460,Rotuma Island,3D2/R,OC,32,56,-12.30,177.70,0,,
462,South Africa,ZS,AF,38,57,-26.20,28.10,0,,
464,Namibia,V5,AF,38,57,-22.60,17.10,0,,
466,Sudan,ST,AF,34,48,15.60,32.50,0,,
468,Kingdom of Eswatini,3DA,AF,38,57,-26.30,31.10,0,,
470,Tanzania,5H,AF,37,53,-7.00,39.50,0,,
474,Tunisia,3V,AF,33,37,36.80,10.20,0,,
478,Egypt,SU,AF,34,38,30.00,31.40,0,,
480,Burkina Faso,XT,AF,35,46,12.40,-1.60,0,1960-08-05T00:00:00+00:00,
482,Zambia,9J,AF,36,53,-15.40,28.30,0,,
483,Togo,5V7,AF,35,46,6.20,1.40,0,,
